FRACASO,ACTIVOS,TAMA¥O,TIPO.COMERCIO,REGION,ZONA,B11,B12,B13,B14,B21,B22,B23,B24,B31,B32,B33,B41,B42,B43,B44,B51,B52,B53,B61,B62,B63,B64,B65,B66,B67,B68,B69,B610,B611,A1,A2,A3,A4,A5
1,678.7495146,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,0.102777251,0.052249728,0.119350575,0.092935265,0.074803896,0.03802868,0.086866383,0.067640649,0.562216373,0,0.562216373,0.079965738,0.379662824,0.999302278,0.437085905,0.142233029,0.675296634,1.77743361,0.157295723,0.58951585,1.218854956,0.746811573,1.965666529,0.85976501,0.861137457,1.967038975,0.855296687,4.060793593,-1.952554302,0.437085905,0.267743692,0.03802868,0.778674631,0.508378335
0,4278.893204,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,-0.165065368,-0.044984201,-0.059134678,-0.187988454,0.04759607,0.01297105,0.017051295,0.054205869,0.081872769,0.157419593,0.239292362,0.0416873,0.368295424,0.495466694,0.413593924,0.50917174,4.498387278,6.05166648,0.152967695,1.183171255,0.466643218,1.35142601,1.818069227,1.517644669,2.791346349,3.669407551,0.714213679,6.238498369,4.835801355,0.413593924,0.005104661,0.021488179,3.178988371,0.272523558
0,773.6349515,PEQUE¥A,POR MENOR,VALLE,OTRAS,0.091777452,0.122193584,0.586219079,0.154371282,0.030967852,0.041230964,0.197803984,0.052088469,0.777021414,0.014535038,0.791556452,0.157998763,0.451083979,0.990825945,0.21380453,0.203339007,0.580529662,1.275159122,0.118670091,0.22013115,0.405390696,0.338801242,0.744191938,0.160584822,0.156558282,0.751082409,0.325766985,0.93005961,-0.672028399,0.21380453,0.089447406,0.06656308,0.263333774,1.331411824
0,4846.850485,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,-0.229704682,-0.081567945,-0.525964619,-0.096539546,-0.328871037,-0.116781837,-0.753030056,-0.138216863,0.84491743,0,0.84491743,0.000236932,0.489086882,0.893859146,0.048941716,0.00028042,0.578857607,1.057924851,0.000667228,1.376657488,1.13988509,1.377324716,2.517209806,0.137825483,0.436730293,2.816114616,0.001791595,3.698297237,-2.690661275,0.048941716,0.145156735,-0.11341653,0.183547605,0.355099183
0,5932.570874,MEDIANA,POR MENOR,BOGOTA D.C.,CAPITAL,-0.005135268,-0.025788638,-0.141093345,-0.031556433,0.00667001,0.033495906,0.183260913,0.04098748,0.817222859,0,0.817222859,0.2834844,0.572280393,0.991481114,0.174258255,0.346887507,0.700274579,1.213232233,0.056449994,0.02809719,0.083475063,0.113957681,0.197432744,0.03469989,0.036396248,0.199129102,0.863850175,1.743886145,-0.746402946,0.174258255,0,0.066147231,0.223656423,5.021867681
0,4130.099029,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,0.005447115,0.006239605,0.05667533,0.007011532,0.009782866,0.011206156,0.101787301,0.012592514,0.88990615,0,0.88990615,0.126884663,0.154010961,0.917974754,0.028068604,0.142582073,0.173064274,1.031541083,0.110769086,0.013072647,0.666933013,0.134450082,0.801383095,0.02450362,0.096110868,0.872990342,0.316603579,0.384289324,-1.836211282,0.028068604,0.081317084,0.018047904,0.123714001,1.145488045
0,5531.11068,MEDIANA,POR MAYOR,BOGOTA D.C.,CAPITAL,0.12176502,0.141074015,0.215084268,0.409981048,0.055502048,0.064303334,0.09803815,0.186874586,0.333575566,0.010523303,0.344098869,0.279021191,0.751848207,0.956680713,0.623105147,0.836455721,2.25390671,2.867958,0.240831176,0.408110531,0.176796799,0.648941707,0.825738507,0.537819888,0.56612704,0.863128623,0.503891769,1.357782618,0.755369656,0.623105147,0.540714012,0.116717623,1.906141492,1.158575875
0,1458.819417,PEQUE¥A,POR MENOR,BOGOTA D.C.,CAPITAL,0,0,0,0,0.011386167,0.054505835,0.410461434,0.062852061,0.71497378,0.15223461,0.86720839,0.212656494,0.221682336,0.975356687,0.260382907,0.297432577,0.310056595,1.364185254,0.044423544,0.001885482,0.157441163,0.046309026,0.203750189,0.054393503,0.027739919,0.208898131,0.35295732,0.367937992,-0.81874211,0.260382907,0,0.054505835,0.153125375,4.787022252
0,10222.14951,MEDIANA,POR MAYOR,VALLE,OTRAS,-0.016286905,-0.027337293,-0.04672121,-0.065891294,0.024210368,0.040636691,0.069450746,0.09794694,0.376341125,0.038543619,0.414884744,0.003502844,0.198135167,0.996886601,0.620545475,0.00930763,0.526477586,2.64889095,0.002086911,0.111366627,0.475876985,0.11804419,0.593921175,0.369706141,0.348597664,0.595776063,0.014464004,0.786326168,-0.767668112,0.620545475,0.235789199,0.057296322,1.410307959,1.67848301
0,4132.656311,PEQUE¥A,POR MAYOR,BOGOTA D.C.,CAPITAL,-0.004496079,-0.004220992,-0.020667517,-0.005304308,-0.032226282,-0.03025456,-0.148137355,-0.038019378,0.592626622,0.203140217,0.795766839,0.033915634,0.245242125,0.625953239,0.033326617,0.057229346,0.413822322,1.056235437,0.036125952,0.223594694,0.405522466,0.261224818,0.666747284,0.035498549,0.217543255,1.065171073,0.143793085,1.039760068,-1.472816009,0.033326617,0.074759709,-0.030212236,0.256649499,0.938816332
